t,pid,name,src,dst,cur,act,hop,nCand,masked,qAct,delayAct,rhoAct,relAct,tremAct,reward,done,failCode
6,0,global_dijkstra,8,9,8,9,1,96,0,0,9.4864246426519,0.02423306875,0.99209203175,999,2.79393944587825,1,0
6,0,global_dijkstra,24,9,24,18,1,96,0,1,10.1980622641952,0.019041034375,0.992715075875,3,-0.812607679156286,0,0
6,0,global_dijkstra,21,9,21,15,1,96,0,0,10.8982060370958,0.01155,0.993614,8,-0.46864100185479,0,0
6,0,global_dijkstra,22,9,22,16,1,96,0,1,10.6178747020263,0.03018875,0.99137735,9,-0.478012463712425,0,0
6,0,global_dijkstra,5,9,5,11,1,96,0,3,10.8982060370958,0.032418346875,0.991109798375,8,-0.572717471981873,0,0
7,0,global_dijkstra,8,6,8,7,1,96,0,0,9.4864246426519,0.0174223190625,0.9929093217125,999,-0.199290668932372,0,0
7,0,global_dijkstra,12,14,12,18,1,96,0,0,10.1980622641952,0.016186740625,0.993057591125,2,-0.781992733391008,0,0
7,0,global_dijkstra,10,18,10,11,1,96,0,1,9.37929165882718,0.03709875640625,0.99054814923125,999,-0.241270176238601,0,0
7,0,global_dijkstra,4,18,4,5,1,96,0,0,9.37929165882718,0.0060536128125,0.9942735664625,999,-0.182633525728635,0,0
7,0,global_dijkstra,16,8,16,10,1,96,0,6,10.6178747020263,0.016405125,0.993031385,8,-0.62611709601798,0,0
7,0,global_dijkstra,10,9,10,9,1,96,0,1,9.46239186827274,0.06727781296875,0.98692666244375,999,2.724576831066,1,0
7,0,global_dijkstra,24,9,24,18,1,96,0,1,10.0720742786083,0.02597256890625,0.99188329173125,3,-0.813198225201005,0,0
7,0,global_dijkstra,15,9,15,9,1,96,0,1,10.8982060370958,0.02486816921875,0.99201581969375,7,2.46087867444971,1,0
7,0,global_dijkstra,15,9,15,9,1,96,0,1,10.8982060370958,0.03486816921875,0.99081581969375,7,2.45093867444971,1,0
7,0,global_dijkstra,1,9,1,2,1,96,0,0,9.4864246426519,0.01440923171875,0.99327089219375,999,-0.196295660112684,0,0
7,0,global_dijkstra,14,9,14,15,1,96,0,0,9.49848959981197,0.0054087378125,0.9943509514625,999,-0.187952417027875,0,0
7,0,global_dijkstra,19,9,19,20,1,96,0,0,9.4864246426519,0.0045851815625,0.9944497782125,999,-0.186530554257372,0,0
7,0,global_dijkstra,23,9,23,17,1,96,0,0,10.1980622641952,0.007158284375,0.994141005875,2,-0.773018447878508,0,0
7,0,global_dijkstra,17,9,17,11,1,96,0,3,10.3819660112501,0.0199825,0.9926021,9,-0.511627572229172,0,0
7,0,global_dijkstra,3,9,3,9,1,96,0,1,11.2139499366922,0.0326612821875,0.9910806461375,6,2.39805941089324,1,0
8,0,global_dijkstra,6,11,6,12,1,96,0,0,10.1980622641952,0.00817031875,0.99401956175,9,-0.407357743380591,0,0
8,0,global_dijkstra,16,3,16,22,1,96,0,0,10.1980622641952,0.012157096875,0.993541148375,9,-0.411320600836842,0,0
8,0,global_dijkstra,10,8,10,9,1,96,0,0,9.37929165882718,0.0535027971328125,0.988579664344063,999,-0.229798014943026,0,0
8,0,global_dijkstra,18,13,18,13,1,96,0,0,8.88167787843871,0.0055,0.99434,999,2.84279745442641,1,0
8,0,global_dijkstra,4,23,4,5,1,96,0,0,9.25185988058195,0.008829487046875,0.993940461554375,999,-0.179021155805343,0,0
8,0,global_dijkstra,23,9,23,17,1,96,0,0,10.0720742786083,0.00943705640625,0.99386755323125,2,-0.768984147998227,0,0
8,0,global_dijkstra,22,9,22,16,1,96,0,0,10.1980622641952,0.022157096875,0.992341148375,9,-0.421260600836841,0,0
8,0,global_dijkstra,2,9,2,3,1,96,0,0,9.46239186827274,0.0178684243203125,0.992855789081562,999,-0.198532458839679,0,0
8,0,global_dijkstra,19,9,19,20,1,96,0,0,9.49848959981197,0.008021849859375,0.994037378016875,999,-0.190549850402469,0,0
8,0,global_dijkstra,3,9,3,9,1,96,0,1,10.8982060370958,0.033463705203125,0.990984355375625,6,2.41304899739553,1,0
8,0,global_dijkstra,22,9,22,16,1,96,0,1,10.1980622641952,0.032157096875,0.991141148375,9,-0.458978378614619,0,0
8,0,global_dijkstra,15,9,15,9,1,96,0,1,10.6178747020263,0.0456774930703125,0.989518700831562,7,2.45421077329473,1,0
8,0,global_dijkstra,24,9,24,18,1,96,0,0,10.0080514120095,0.0197849128984375,0.992625810452187,3,-0.776068774021523,0,0
