t,pid,name,ok,drop,maxQ,avgQ,jain,masked,cand,rLocal
8,3,local_q_life_export,17,0,9,0.916666666666667,0.488123084891764,34,180,1.03754016495212
9,3,local_q_life_export,18,0,9,0.958333333333333,0.522870430231142,43,196,1.07126307875347
10,3,local_q_life_export,17,0,9,0.833333333333333,0.537024225787503,33,164,1.06116489845525
11,3,local_q_life_export,16,0,8,0.708333333333333,0.572032848938993,35,164,1.41786284241443
12,3,local_q_life_export,18,0,9,0.791666666666667,0.585619367940134,51,208,1.12418175624952
13,3,local_q_life_export,18,0,10,0.916666666666667,0.596575360741585,38,188,0.936048318363107
14,3,local_q_life_export,17,0,12,1.125,0.637513643620554,44,200,0.774415942072925
15,3,local_q_life_export,18,0,12,1.25,0.605365459487995,43,204,1.03060376761393
16,3,local_q_life_export,17,0,11,1.125,0.679767582140029,43,185,1.15082364141909
17,3,local_q_life_export,18,0,14,1.41666666666667,0.712705251386267,71,259,0.750253922969201
18,3,local_q_life_export,17,0,16,1.91666666666667,0.678099107918469,72,255,0.59081049612932
19,3,local_q_life_export,16,1,18,2.20833333333333,0.621392983379236,75,261,0.750340859440507
20,3,local_q_life_export,17,0,17,2.04166666666667,0.598472118279944,42,182,1.02801117703067
21,3,local_q_life_export,16,0,17,1.875,0.720461079777871,70,238,1.02511319197594
22,3,local_q_life_export,18,0,17,2.25,0.674385523959935,79,283,0.725031534362794
23,3,local_q_life_export,18,0,17,2.16666666666667,0.743876903139522,89,309,0.797663530688331
24,3,local_q_life_export,18,0,16,2.20833333333333,0.706538363023062,78,288,0.73859005491739
25,3,local_q_life_export,17,0,17,2,0.69833987894835,70,260,0.891567724089569
26,3,local_q_life_export,18,0,19,2.20833333333333,0.660989888007174,66,264,0.790250612434101
27,3,local_q_life_export,16,0,20,2.04166666666667,0.669939825975448,57,220,1.03230562025603
28,3,local_q_life_export,17,0,20,2.29166666666667,0.613210383285665,73,264,0.699993401607538
29,3,local_q_life_export,16,0,20,2.04166666666667,0.663761672815086,48,204,0.938744256350417
30,3,local_q_life_export,16,0,19,1.875,0.637343797658993,48,208,1.01641565798872
31,3,local_q_life_export,18,0,20,2.45833333333333,0.651254519253109,89,332,0.356523221621366
32,3,local_q_life_export,15,0,19,2.33333333333333,0.635558491936365,56,224,0.759195370248625
33,3,local_q_life_export,18,0,20,2.5,0.616467896196502,70,272,0.849764723371505
34,3,local_q_life_export,17,0,20,2.45833333333333,0.599159189665809,51,216,0.919590412432335
35,3,local_q_life_export,18,0,19,2.5,0.618577780333344,63,248,0.501403310429529
