load_point,policy,metric,n,mean,ci95_low,ci95_high
exo4,full_heuristic,mean_queue_packets,15,1.3446296296296296,1.3078680555555557,1.3800925925925924
exo4,global_dijkstra,delivery_ratio,15,0.8411458333333334,0.8255208333333334,0.8567708333333334
exo4,global_dijkstra,drop_rate,15,0.0010416666666666667,0.0,0.0026041666666666665
exo4,global_dijkstra,throughput_packets_per_slot,15,3.5888888888888886,3.5222222222222217,3.655555555555556
exo4,global_dijkstra,average_delay_slots,15,4.793945576913674,4.63502244797804,4.950624062815756
exo4,global_dijkstra,p95_delay_slots,15,8.833333333333332,8.359916666666665,9.319999999999997
exo4,global_dijkstra,mean_queue_packets,15,0.6691666666666668,0.6414814814814815,0.6947222222222221
exo4,mappo,delivery_ratio,120,0.87578125,0.8735026041666667,0.8780598958333333
exo4,mappo,drop_rate,120,0.0008463541666666667,0.0004557291666666667,0.0013671875
exo4,mappo,throughput_packets_per_slot,120,3.7366666666666664,3.7269444444444444,3.746388888888889
exo4,mappo,average_delay_slots,120,4.46106698989217,4.414593069330806,4.506417113928186
exo4,mappo,p95_delay_slots,120,7.359166666666666,7.2349895833333315,7.481677083333333
exo4,mappo,mean_queue_packets,120,0.5925115740740741,0.5847447916666667,0.6001388888888889
exo6,full_heuristic,delivery_ratio,15,0.3684027777777778,0.35312499999999997,0.3836805555555556
exo6,full_heuristic,drop_rate,15,0.13958333333333334,0.13090277777777778,0.14791666666666667
exo6,full_heuristic,throughput_packets_per_slot,15,2.3577777777777773,2.26,2.4555555555555557
exo6,full_heuristic,average_delay_slots,15,8.519015094475028,8.217080513619518,8.811629176414275
exo6,full_heuristic,p95_delay_slots,15,18.40333333333333,17.59666666666666,19.143416666666663
exo6,full_heuristic,mean_queue_packets,15,2.3859259259259256,2.3209189814814812,2.448240740740741
exo6,global_dijkstra,delivery_ratio,15,0.74375,0.7350694444444444,0.7541666666666667
exo6,global_dijkstra,drop_rate,15,0.016666666666666666,0.011805555555555554,0.022578124999999873
exo6,global_dijkstra,throughput_packets_per_slot,15,4.76,4.704444444444444,4.826666666666666
exo6,global_dijkstra,average_delay_slots,15,6.139171294329846,5.966236395550469,6.310952358363137
exo6,global_dijkstra,p95_delay_slots,15,11.989999999999998,11.473249999999998,12.580083333333329
exo6,global_dijkstra,mean_queue_packets,15,1.36,1.31962962962963,1.3970393518518516
exo6,mappo,delivery_ratio,120,0.7834635416666667,0.7794270833333333,0.7873263888888888
exo6,mappo,drop_rate,120,0.007161458333333333,0.005989583333333334,0.008463541666666666
exo6,mappo,throughput_packets_per_slot,120,5.014166666666667,4.988333333333333,5.038888888888889
exo6,mappo,average_delay_slots,120,5.814519769309408,5.759494902837124,5.8714625652943715
exo6,mappo,p95_delay_slots,120,10.164999999999997,10.027499999999998,10.307499999999997
exo6,mappo,mean_queue_packets,120,1.2404050925925925,1.2271863425925924,1.2540283564814816
exo8,full_heuristic,delivery_ratio,15,0.3078125,0.2984375,0.31927083333333334
exo8,full_heuristic,drop_rate,15,0.16927083333333334,0.15572916666666667,0.18255208333333334
exo8,full_heuristic,throughput_packets_per_slot,15,2.626666666666667,2.546666666666667,2.724444444444445
exo8,full_heuristic,average_delay_slots,15,8.716526705867441,8.375709510219076,9.06656701999593
exo8,full_heuristic,p95_delay_slots,15,18.56333333333333,17.716666666666665,19.4235
exo8,full_heuristic,mean_queue_packets,15,3.377685185185185,3.3203703703703704,3.429351851851852
exo8,global_dijkstra,delivery_ratio,15,0.6072916666666667,0.5963541666666666,0.6190104166666667
exo8,global_dijkstra,drop_rate,15,0.0546875,0.04791666666666667,0.061197916666666664
exo8,global_dijkstra,throughput_packets_per_slot,15,5.182222222222222,5.088888888888889,5.282222222222221
exo8,global_dijkstra,average_delay_slots,15,7.365143312712644,7.191760929026877,7.5267257413761035
exo8,global_dijkstra,p95_delay_slots,15,15.559999999999999,14.99333333333333,16.106666666666666
exo8,global_dijkstra,mean_queue_packets,15,2.316481481481482,2.2615717592592595,2.3653726851851857
exo8,mappo,delivery_ratio,120,0.6552408854166667,0.6508463541666667,0.6597330729166667
exo8,mappo,drop_rate,120,0.03264973958333333,0.03056640625,0.03479817708333333
exo8,mappo,throughput_packets_per_slot,120,5.591388888888889,5.553888888888889,5.629722222222222
exo8,mappo,average_delay_slots,120,7.1278090361680375,7.06988630795378,7.184532267225384
exo8,mappo,p95_delay_slots,120,13.093333333333332,12.944583333333332,13.244166666666665
exo8,mappo,mean_queue_packets,120,2.158553240740741,2.138240162037037,2.178264756944444
exo10,full_heuristic,delivery_ratio,15,0.25854166666666667,0.25145833333333334,0.2654166666666667
exo10,full_heuristic,drop_rate,15,0.18875,0.17895833333333336,0.1991666666666667
exo10,full_heuristic,throughput_packets_per_slot,15,2.7577777777777777,2.6822222222222223,2.8311111111111114
exo10,full_heuristic,average_delay_slots,15,9.233514916463289,8.95096023840304,9.497253885023008
exo10,full_heuristic,p95_delay_slots,15,19.369999999999997,18.213333333333335,20.5
exo10,full_heuristic,mean_queue_packets,15,4.483611111111112,4.434162037037036,4.538240740740741
exo10,global_dijkstra,delivery_ratio,15,0.5218750000000001,0.509375,0.535
exo10,global_dijkstra,drop_rate,15,0.08895833333333333,0.082703125,0.09541666666666669
exo10,global_dijkstra,throughput_packets_per_slot,15,5.5666666666666655,5.433333333333334,5.706666666666665
exo10,global_dijkstra,average_delay_slots,15,8.22048982297696,8.07576056490751,8.366717983447678
exo10,global_dijkstra,p95_delay_slots,15,17.790000000000003,17.44,18.15333333333333
exo10,global_dijkstra,mean_queue_packets,15,3.350462962962963,3.2909259259259263,3.406303240740741
exo10,mappo,delivery_ratio,120,0.5458854166666666,0.5409368489583333,0.5508854166666667
exo10,mappo,drop_rate,120,0.07403645833333333,0.07171875000000001,0.07635416666666668
exo10,mappo,throughput_packets_per_slot,120,5.822777777777778,5.769993055555554,5.876111111111112
exo10,mappo,average_delay_slots,120,8.31381981883124,8.251429251204444,8.376858851206228
exo10,mappo,p95_delay_slots,120,15.805416666666666,15.642062499999996,15.969166666666665
exo10,mappo,mean_queue_packets,120,3.263854166666667,3.2390379050925926,3.288298900462963
exo14,full_heuristic,delivery_ratio,15,0.19189189189189187,0.18438438438438434,0.1994031531531531
exo14,full_heuristic,drop_rate,15,0.2099099099099099,0.2006006006006006,0.2205705705705706
exo14,full_heuristic,throughput_packets_per_slot,15,2.8400000000000007,2.728888888888889,2.951166666666666
exo14,full_heuristic,average_delay_slots,15,9.568572656829524,9.302935524795684,9.830038979046344
exo14,full_heuristic,p95_delay_slots,15,20.509999999999998,19.90666666666667,21.069999999999997
exo14,full_heuristic,mean_queue_packets,15,6.590185185185184,6.512960648148149,6.670652777777777
exo14,global_dijkstra,delivery_ratio,15,0.3903903903903904,0.3831831831831833,0.397897897897898
exo14,global_dijkstra,drop_rate,15,0.12897897897897898,0.11951951951951953,0.1403903903903904
exo14,global_dijkstra,throughput_packets_per_slot,15,5.777777777777777,5.671111111111112,5.888888888888889
exo14,global_dijkstra,average_delay_slots,15,9.174136111961262,8.982587210951916,9.382649255187504
exo14,global_dijkstra,p95_delay_slots,15,19.323333333333327,19.00666666666666,19.606749999999998
exo14,global_dijkstra,mean_queue_packets,15,5.400185185185185,5.325740740740741,5.475185185185185
exo14,mappo,delivery_ratio,120,0.3967154654654655,0.39290540540540536,0.4006944444444444
exo14,mappo,drop_rate,120,0.12404279279279277,0.12028903903903904,0.1278903903903904
exo14,mappo,throughput_packets_per_slot,120,5.871388888888888,5.8149999999999995,5.9302777777777775
exo14,mappo,average_delay_slots,120,9.486101518671543,9.424862260674091,9.549661689397873
exo14,mappo,p95_delay_slots,120,18.84208333333333,18.677906249999996,19.00709375
exo14,mappo,mean_queue_packets,120,5.36269675925926,5.337116898148148,5.388437789351851
exo20,full_heuristic,delivery_ratio,15,0.14081196581196578,0.13717948717948716,0.14444711538461535
exo20,full_heuristic,drop_rate,15,0.23536324786324786,0.22659989316239312,0.24358974358974358
exo20,full_heuristic,throughput_packets_per_slot,15,2.9288888888888893,2.8533333333333335,3.0044999999999997
exo20,full_heuristic,average_delay_slots,15,10.460948413060352,10.302767015806966,10.622553008902504
exo20,full_heuristic,p95_delay_slots,15,21.959999999999997,21.063249999999996,22.83333333333333
exo20,full_heuristic,mean_queue_packets,15,9.724351851851852,9.663699074074072,9.782041666666666
exo20,global_dijkstra,delivery_ratio,15,0.2683760683760684,0.2631410256410257,0.2733974358974359
exo20,global_dijkstra,drop_rate,15,0.1770299145299145,0.16987179487179485,0.18429487179487178
exo20,global_dijkstra,throughput_packets_per_slot,15,5.582222222222223,5.473333333333334,5.6866666666666665
exo20,global_dijkstra,average_delay_slots,15,10.269123152880137,10.128073425762585,10.412850538597823
exo20,global_dijkstra,p95_delay_slots,15,21.18,20.616666666666667,21.759999999999998
exo20,global_dijkstra,mean_queue_packets,15,8.623703703703704,8.549534722222223,8.69648148148148
exo20,mappo,delivery_ratio,120,0.2657051282051282,0.26392895299145297,0.2674145299145299
exo20,mappo,drop_rate,120,0.17816506410256408,0.17546741452991454,0.18088975694444442
exo20,mappo,throughput_packets_per_slot,120,5.526666666666666,5.489722222222222,5.562222222222222
exo20,mappo,average_delay_slots,120,10.685947389730096,10.63080163033608,10.742678740799999
exo20,mappo,p95_delay_slots,120,21.258333333333333,21.11,21.41334375
exo20,mappo,mean_queue_packets,120,8.637974537037037,8.612485243055556,8.664352719907408
exo28,full_heuristic,delivery_ratio,15,0.11953405017921148,0.11469534050179211,0.12464157706093187
exo28,full_heuristic,drop_rate,15,0.2381720430107527,0.2318077956989247,0.24435483870967736
exo28,full_heuristic,throughput_packets_per_slot,15,2.9644444444444447,2.844444444444444,3.0911111111111107
exo28,full_heuristic,average_delay_slots,15,11.024023098605936,10.697626094751595,11.355805333035928
exo28,full_heuristic,p95_delay_slots,15,22.86,22.073249999999998,23.723416666666665
