timeSlot,policyId,policy,delivered,dropped,maxQueue,avgQueue,jainLoad,invalidActions,candidateActions,avgLocalReward
6,2,P2_queue_load_lifetime_mask,17,0,13,0.75,0.521700876141633,102,1632,-0.602866556645073
7,2,P2_queue_load_lifetime_mask,18,0,14,0.791666666666667,0.614116945827042,108,1728,-0.617266787184751
8,2,P2_queue_load_lifetime_mask,18,0,16,1.04166666666667,0.555242644137323,108,1728,-0.645487740022142
9,2,P2_queue_load_lifetime_mask,16,0,16,0.916666666666667,0.56424482659373,96,1536,-0.715351117565754
10,2,P2_queue_load_lifetime_mask,18,0,18,1,0.559109743832554,108,1692,-0.553572222988017
11,2,P2_queue_load_lifetime_mask,17,0,17,1.08333333333333,0.510043569411429,102,1564,-0.470382746269221
12,2,P2_queue_load_lifetime_mask,18,0,18,1.08333333333333,0.544995238007237,72,1620,-0.579633198035706
13,2,P2_queue_load_lifetime_mask,17,0,19,1.04166666666667,0.570833373042825,68,1496,-0.489492608727686
14,2,P2_queue_load_lifetime_mask,17,0,20,1.08333333333333,0.576355397170384,68,1462,-0.630066582613782
15,2,P2_queue_load_lifetime_mask,18,0,19,1.20833333333333,0.610224259924876,72,1512,-0.539294685903749
16,2,P2_queue_load_lifetime_mask,18,0,18,1,0.589504939990829,72,1548,-0.578616649205382
17,2,P2_queue_load_lifetime_mask,17,0,20,1,0.598641905009318,68,1496,-0.661958359964611
18,2,P2_queue_load_lifetime_mask,18,0,19,0.958333333333333,0.634676384502533,108,1620,-0.619304921760124
19,2,P2_queue_load_lifetime_mask,17,0,18,1.125,0.607396027843968,102,1564,-0.445470745032
20,2,P2_queue_load_lifetime_mask,14,0,18,0.958333333333333,0.538811660627401,84,1316,-0.535911487838966
21,2,P2_queue_load_lifetime_mask,17,0,19,1,0.577406674289208,102,1632,-0.781521432304903
22,2,P2_queue_load_lifetime_mask,18,0,20,1.04166666666667,0.584581873070594,108,1728,-0.541916960589718
23,2,P2_queue_load_lifetime_mask,18,0,21,1.25,0.501616405052247,108,1728,-0.647339887217534
24,2,P2_queue_load_lifetime_mask,17,0,20,1.20833333333333,0.56432800241231,102,1632,-0.652034791749437
25,2,P2_queue_load_lifetime_mask,18,0,20,1.16666666666667,0.598437980274021,108,1728,-0.512312895401009
26,2,P2_queue_load_lifetime_mask,18,0,22,1.45833333333333,0.585052467183808,108,1728,-0.686562163831676
27,2,P2_queue_load_lifetime_mask,18,0,22,1.41666666666667,0.55343183802109,108,1728,-0.693817493666231
28,2,P2_queue_load_lifetime_mask,16,0,21,1.29166666666667,0.526042117585637,96,1536,-0.494753902648638
29,2,P2_queue_load_lifetime_mask,18,0,22,1.20833333333333,0.541985242044105,108,1728,-0.786806560477711
30,2,P2_queue_load_lifetime_mask,17,0,21,1.29166666666667,0.524186205262296,102,1632,-0.794529978538562
1,3,P3_full_local_cost,17,0,1,0.0416666666666667,0.821603128054741,102,1632,-0.646838731298469
