episode,packet_id,src,dst,traffic_class,created_slot,delivered,delivery_slot,hop_count,delay_slots,delay_ms,path,drop_reason
1,76,14,1,0,11,1,17,5,7,45.11,14 13 19 24 6 1,
1,77,12,9,2,11,1,19,3,9,20.74,12 11 10 9,
1,78,18,9,1,11,1,20,6,10,43.77,18 13 7 12 11 10 9,
1,79,22,9,0,12,1,17,3,6,30.48,22 21 15 9,
1,80,8,9,0,12,1,15,1,4,7.39,8 9,
1,81,21,10,2,12,1,15,3,4,30.45,21 22 16 10,
1,82,5,9,0,12,1,20,3,9,27.13,5 4 3 9,
1,83,6,9,2,12,1,21,4,10,34.51,6 1 2 3 9,
1,84,14,9,0,12,1,18,2,7,17.36,14 8 9,
1,85,19,9,1,13,1,20,4,8,40.18,19 20 21 15 9,
1,86,4,22,1,13,1,19,3,7,26.83,4 5 23 22,
1,87,8,9,0,13,1,17,1,5,6.89,8 9,
1,88,15,9,2,13,1,15,1,3,11.0,15 9,
1,89,10,9,0,13,1,18,1,6,6.57,10 9,
1,90,16,5,1,13,1,20,5,8,46.43,16 17 23 24 6 5,
1,91,5,9,2,14,1,21,3,8,24.53,5 11 10 9,
1,92,18,9,0,14,1,22,4,9,33.72,18 17 16 15 9,
1,93,21,22,0,14,1,15,1,2,7.12,21 22,
1,94,19,9,0,14,1,23,4,10,40.72,19 20 21 15 9,
1,95,16,9,0,14,1,21,2,8,20.22,16 15 9,
1,96,15,9,0,14,1,18,1,5,12.21,15 9,
1,97,12,1,1,15,1,18,2,4,18.78,12 6 1,
1,98,11,9,0,15,1,22,2,8,13.21,11 10 9,
1,99,7,9,2,15,1,19,2,5,13.96,7 8 9,
1,100,15,9,0,15,1,19,1,5,12.62,15 9,
1,101,24,9,1,15,0,-1,6,-1,47.79,24 19 20 21 22 16 15,deadline_exceeded
1,102,5,22,0,15,1,18,2,4,19.85,5 23 22,
1,103,12,9,0,16,1,23,3,8,19.97,12 11 10 9,
1,104,17,19,2,16,1,19,3,4,25.29,17 18 13 19,
1,105,8,21,1,16,1,27,3,12,33.46,8 9 15 21,
1,106,1,9,0,16,1,23,3,8,27.44,1 2 3 9,
1,107,6,9,0,16,1,26,4,11,33.78,6 1 2 3 9,
1,108,7,9,0,16,1,25,4,10,27.11,7 12 11 10 9,
1,109,7,21,0,17,1,23,4,7,37.99,7 13 14 20 21,
1,110,16,18,1,17,1,19,2,3,13.08,16 17 18,
1,111,21,22,0,17,1,19,1,3,6.51,21 22,
1,112,8,9,2,17,1,21,1,5,6.51,8 9,
1,113,18,9,2,17,1,26,4,10,34.79,18 17 16 10 9,
1,114,22,9,1,17,1,25,3,9,33.91,22 21 15 9,
1,115,17,9,1,18,1,28,3,11,26.76,17 16 15 9,
1,116,20,12,1,18,1,23,4,6,41.6,20 19 24 18 12,
1,117,3,9,0,18,1,24,1,7,13.83,3 9,
1,118,8,22,0,18,1,29,4,12,39.41,8 9 10 16 22,
1,119,14,9,0,18,1,24,2,7,20.53,14 15 9,
1,120,22,9,0,18,1,28,3,11,34.29,22 21 3 9,
1,121,24,9,1,19,0,-1,6,-1,53.9,24 19 20 21 22 16 10,deadline_exceeded
1,122,8,9,0,19,1,23,1,5,6.7,8 9,
1,123,16,9,1,19,1,26,2,8,20.46,16 15 9,
1,124,7,9,1,19,1,24,2,6,13.46,7 8 9,
1,125,20,5,1,19,1,25,4,7,35.22,20 19 24 23 5,
1,126,21,9,0,19,1,30,2,12,26.96,21 15 9,
1,127,13,9,2,20,1,29,3,10,26.42,13 14 15 9,
