run_id,record_type,environment_steps,update_round,optimizer_updates,actor_loss,critic_loss,normalized_entropy,approx_kl,clip_fraction,actor_gradient_pre_clip,critic_gradient_pre_clip,actor_gradient_post_clip,critic_gradient_post_clip,explained_variance,advantage_mean,advantage_std,return_mean,return_std,action_slot_frequency
leo_multi__medium_load__seed-1024__2026-07-15_13-57-45__EXP-004,training_update,180,3,36,-0.009320775978267193,75.4562071164449,0.9678295652071635,7.112813450523466e-06,0.0,0.02458504494279623,516.7653363545736,0.02458504494279623,0.4999999776482582,0.06771695613861084,-3.479726018440488e-08,1.0,-24.06289291381836,4.382207870483398,"[0.0, 0.2429831624031067, 0.27345630526542664, 0.2662389874458313, 0.21732157468795776, 0.0, 0.0]"
leo_multi__medium_load__seed-1024__2026-07-15_13-57-45__EXP-004,training_update,240,4,48,-0.005216358850399653,47.44992637634277,0.975205714503924,1.02933498501064e-05,0.0,0.021068742343535025,573.6653620402018,0.021068742343535025,0.4999999826153119,0.40534651279449463,1.501789341773474e-07,1.0,-31.203645706176758,4.596174240112305,"[0.0, 0.2685851454734802, 0.27498000860214233, 0.2677857577800751, 0.18864908814430237, 0.0, 0.0]"
leo_multi__medium_load__seed-1024__2026-07-15_13-57-45__EXP-004,training_update,300,5,60,-0.004719283742209275,33.647871931393944,0.9684852411349615,5.7729464562801995e-06,0.0,0.022190121312936146,596.9098752339681,0.022190121312936146,0.4999999900658925,0.6006982922554016,8.011480190361908e-08,1.0,-39.22780990600586,4.562708377838135,"[0.0, 0.25525039434432983, 0.27544426918029785, 0.2681744694709778, 0.20113085210323334, 0.0, 0.0]"
leo_multi__medium_load__seed-42__2026-07-15_13-57-17__EXP-004,training_update,60,1,12,-0.006741233170032501,150.63702646891275,0.9663099547227224,8.889451692084549e-06,0.0,0.017818660320093233,203.34738540649414,0.017818660320093233,0.4999999826153119,0.00985783338546753,-1.225725583253734e-07,0.9999999403953552,-12.502870559692383,4.721747875213623,"[0.0, 0.23510971665382385, 0.2821316719055176, 0.2899686396121979, 0.1927899718284607, 0.0, 0.0]"
leo_multi__medium_load__seed-42__2026-07-15_13-57-17__EXP-004,training_update,120,2,24,-0.006722149904817343,144.30981953938803,0.9651372532049814,2.322202330873324e-06,0.0,0.018317526594425242,328.56075795491535,0.018317526594425242,0.4999999975164731,0.01624441146850586,-7.915266309055369e-08,1.0,-15.201546669006348,4.42813777923584,"[0.0, 0.26510879397392273, 0.2602739632129669, 0.278001606464386, 0.19661563634872437, 0.0, 0.0]"
leo_multi__medium_load__seed-42__2026-07-15_13-57-17__EXP-004,training_update,180,3,36,-0.005872776809458931,120.2243839899699,0.973387544353803,1.3027923012979652e-06,0.0,0.02124250214546919,480.66988372802734,0.02124250214546919,0.4999999950329463,0.02487713098526001,-1.4038086249001935e-07,1.0,-18.050573348999023,4.238637924194336,"[0.0, 0.24879999458789825, 0.25360000133514404, 0.2888000011444092, 0.20880000293254852, 0.0, 0.0]"
leo_multi__medium_load__seed-42__2026-07-15_13-57-17__EXP-004,training_update,240,4,48,-0.00238479549686114,92.17591158548991,0.9705206553141276,5.2533503532477726e-06,0.0,0.019456121139228344,624.1662470499674,0.019456121139228344,0.4999999826153119,0.09075301885604858,-9.925997801474296e-08,1.0,-22.355712890625,4.209339618682861,"[0.0, 0.2277550995349884, 0.29224491119384766, 0.2800000011920929, 0.20000000298023224, 0.0, 0.0]"
leo_multi__medium_load__seed-42__2026-07-15_13-57-17__EXP-004,training_update,300,5,60,-0.008680362215576073,79.89879163106282,0.9661569148302078,7.843460953912048e-06,0.0,0.01831403359149893,843.3248163859049,0.01831403359149893,0.4999999900658925,0.1373794674873352,9.64799227176627e-08,0.9999999403953552,-28.863069534301758,4.169427394866943,"[0.0, 0.263073205947876, 0.2534191608428955, 0.27916330099105835, 0.20434433221817017, 0.0, 0.0]"
leo_multi__medium_load__seed-7__2026-07-15_13-56-52__EXP-004,training_update,60,1,12,-0.005564961892863114,137.12602361043295,0.972425659497579,2.2338774546900215e-05,0.0,0.020041088651244838,218.5771687825521,0.020041088651244838,0.4999999826153119,0.008874654769897461,8.525727679398187e-08,1.0,-12.570027351379395,4.564663887023926,"[0.0, 0.2389240562915802, 0.2927215099334717, 0.28955695033073425, 0.17879746854305267, 0.0, 0.0]"
leo_multi__medium_load__seed-7__2026-07-15_13-56-52__EXP-004,training_update,120,2,24,-0.006597494551291068,127.9973856608073,0.9716834425926208,2.5351960419565483e-05,0.0,0.022346171628062923,347.0797373453776,0.022346171628062923,0.4999999826153119,-0.01191246509552002,5.4308593178120645e-08,1.0,-15.802064895629883,4.596401691436768,"[0.0, 0.2358642965555191, 0.2940226197242737, 0.263327956199646, 0.2067851424217224, 0.0, 0.0]"
