fault_point,policy,metric,n,mean,ci95_low,ci95_high
fr0.04,global_dijkstra,delivery_ratio,15,0.7368055555555557,0.7232638888888889,0.7489583333333333
fr0.04,global_dijkstra,drop_rate,15,0.021180555555555553,0.01701388888888889,0.025694444444444447
fr0.04,global_dijkstra,throughput_packets_per_slot,15,4.715555555555556,4.6288888888888895,4.793333333333334
fr0.04,global_dijkstra,average_delay_slots,15,6.119273847834676,5.882173825191436,6.366104792650575
fr0.04,global_dijkstra,p95_delay_slots,15,12.389999999999997,11.733333333333333,13.029999999999998
fr0.04,global_dijkstra,mean_queue_packets,15,1.3874074074074076,1.329997685185185,1.4455624999999996
fr0.04,mappo,delivery_ratio,120,0.78359375,0.7787749565972223,0.7881510416666667
fr0.04,mappo,drop_rate,120,0.005902777777777777,0.004861111111111111,0.006987847222222222
fr0.04,mappo,throughput_packets_per_slot,120,5.015,4.984159722222222,5.0441666666666665
fr0.04,mappo,average_delay_slots,120,5.832647754430891,5.758345203168793,5.911212423654654
fr0.04,mappo,p95_delay_slots,120,10.550416666666665,10.381666666666664,10.720416666666663
fr0.04,mappo,mean_queue_packets,120,1.244976851851852,1.2264105902777775,1.2641209490740741
fr0.08,full_heuristic,delivery_ratio,15,0.36145833333333327,0.34479166666666666,0.37813368055555546
fr0.08,full_heuristic,drop_rate,15,0.14652777777777778,0.13576388888888888,0.1579861111111111
fr0.08,full_heuristic,throughput_packets_per_slot,15,2.313333333333333,2.2066666666666666,2.420055555555555
fr0.08,full_heuristic,average_delay_slots,15,8.247454875613267,8.054645796263372,8.416720705762723
fr0.08,full_heuristic,p95_delay_slots,15,17.4,16.83,17.979999999999997
fr0.08,full_heuristic,mean_queue_packets,15,2.3949074074074077,2.341388888888889,2.4592592592592597
fr0.08,global_dijkstra,delivery_ratio,15,0.7222222222222221,0.7055468749999999,0.7378472222222222
fr0.08,global_dijkstra,drop_rate,15,0.029861111111111113,0.021875000000000002,0.03819444444444444
fr0.08,global_dijkstra,throughput_packets_per_slot,15,4.622222222222222,4.5154999999999985,4.722222222222222
fr0.08,global_dijkstra,average_delay_slots,15,6.258145386773505,6.035755065693289,6.4989135348458715
fr0.08,global_dijkstra,p95_delay_slots,15,12.486666666666666,11.746666666666666,13.273333333333333
fr0.08,global_dijkstra,mean_queue_packets,15,1.430185185185185,1.3658333333333332,1.496761574074074
fr0.08,mappo,delivery_ratio,120,0.7623697916666666,0.7564236111111112,0.7682291666666666
fr0.08,mappo,drop_rate,120,0.012586805555555554,0.010460069444444445,0.014888237847222208
fr0.08,mappo,throughput_packets_per_slot,120,4.879166666666666,4.841111111111112,4.916666666666667
fr0.08,mappo,average_delay_slots,120,6.05719541542274,5.98010435994362,6.134062006586696
fr0.08,mappo,p95_delay_slots,120,10.925,10.741239583333332,11.10670833333333
fr0.08,mappo,mean_queue_packets,120,1.3113773148148147,1.290762152777778,1.331703125
fr0.12,full_heuristic,delivery_ratio,15,0.32395833333333335,0.30243055555555554,0.34583333333333327
fr0.12,full_heuristic,drop_rate,15,0.16527777777777777,0.14930555555555552,0.18263888888888888
fr0.12,full_heuristic,throughput_packets_per_slot,15,2.0733333333333337,1.9355555555555555,2.2133333333333334
fr0.12,full_heuristic,average_delay_slots,15,8.479316112054438,8.16550211896055,8.823712027392965
fr0.12,full_heuristic,p95_delay_slots,15,17.929999999999996,16.96658333333333,18.976666666666667
fr0.12,full_heuristic,mean_queue_packets,15,2.5066666666666664,2.426386574074074,2.5951064814814813
fr0.12,global_dijkstra,delivery_ratio,15,0.6288194444444443,0.5718750000000001,0.6784722222222223
fr0.12,global_dijkstra,drop_rate,15,0.05729166666666667,0.036458333333333336,0.08230034722222211
fr0.12,global_dijkstra,throughput_packets_per_slot,15,4.024444444444445,3.6600000000000006,4.342222222222222
fr0.12,global_dijkstra,average_delay_slots,15,6.8060826029428165,6.474917189166115,7.146100440930898
fr0.12,global_dijkstra,p95_delay_slots,15,14.499999999999998,13.453166666666661,15.576749999999999
fr0.12,global_dijkstra,mean_queue_packets,15,1.6951851851851851,1.5486921296296297,1.855372685185185
fr0.12,mappo,delivery_ratio,120,0.6809027777777777,0.6602430555555556,0.7001302083333333
fr0.12,mappo,drop_rate,120,0.039322916666666666,0.032074652777777775,0.04744032118055554
fr0.12,mappo,throughput_packets_per_slot,120,4.357777777777779,4.225555555555555,4.480833333333334
fr0.12,mappo,average_delay_slots,120,6.853817242868306,6.696926123507157,7.013940496493034
fr0.12,mappo,p95_delay_slots,120,13.304166666666665,12.833739583333331,13.785458333333331
fr0.12,mappo,mean_queue_packets,120,1.5830439814814816,1.5269320023148145,1.642377025462963
fr0.16,full_heuristic,delivery_ratio,15,0.3020833333333333,0.27916666666666673,0.32569444444444445
fr0.16,full_heuristic,drop_rate,15,0.18159722222222224,0.16631944444444446,0.19930555555555554
fr0.16,full_heuristic,throughput_packets_per_slot,15,1.9333333333333336,1.7866666666666668,2.0844444444444448
fr0.16,full_heuristic,average_delay_slots,15,8.530652846754982,8.07992238435979,9.076735491948558
fr0.16,full_heuristic,p95_delay_slots,15,18.879999999999995,17.499999999999996,20.286749999999998
fr0.16,full_heuristic,mean_queue_packets,15,2.5350925925925925,2.4480532407407405,2.6198148148148146
fr0.16,global_dijkstra,delivery_ratio,15,0.6027777777777779,0.548611111111111,0.65
fr0.16,global_dijkstra,drop_rate,15,0.065625,0.044791666666666674,0.09166666666666666
fr0.16,global_dijkstra,throughput_packets_per_slot,15,3.8577777777777778,3.5111111111111115,4.16
fr0.16,global_dijkstra,average_delay_slots,15,6.9265069966355215,6.577738991112814,7.296797705129397
fr0.16,global_dijkstra,p95_delay_slots,15,14.803333333333331,13.873166666666664,15.733416666666665
fr0.16,global_dijkstra,mean_queue_packets,15,1.7517592592592592,1.6067523148148148,1.9042685185185184
fr0.16,mappo,delivery_ratio,120,0.6546440972222222,0.6352864583333333,0.6727864583333333
fr0.16,mappo,drop_rate,120,0.051432291666666664,0.04379340277777778,0.059982638888888884
fr0.16,mappo,throughput_packets_per_slot,120,4.189722222222222,4.065833333333333,4.305833333333333
fr0.16,mappo,average_delay_slots,120,7.026973703458044,6.873623237760561,7.180579755725919
fr0.16,mappo,p95_delay_slots,120,13.587083333333332,13.156239583333331,14.038770833333329
fr0.16,mappo,mean_queue_packets,120,1.6380324074074075,1.5840494791666666,1.6923738425925927
fr0.20,full_heuristic,delivery_ratio,15,0.2881944444444445,0.26319444444444445,0.315625
fr0.20,full_heuristic,drop_rate,15,0.1923611111111111,0.17048611111111114,0.21598090277777768
fr0.20,full_heuristic,throughput_packets_per_slot,15,1.844444444444444,1.6844444444444444,2.02
fr0.20,full_heuristic,average_delay_slots,15,8.549870874155168,8.157568123564678,8.950606495983596
fr0.20,full_heuristic,p95_delay_slots,15,18.479999999999997,17.22325,19.693499999999997
fr0.20,full_heuristic,mean_queue_packets,15,2.555648148148148,2.467680555555555,2.6363032407407405
fr0.20,global_dijkstra,delivery_ratio,15,0.5479166666666667,0.49617187500000015,0.5982638888888889
fr0.20,global_dijkstra,drop_rate,15,0.08680555555555555,0.06527777777777778,0.11111111111111112
fr0.20,global_dijkstra,throughput_packets_per_slot,15,3.5066666666666673,3.1755,3.8288888888888892
fr0.20,global_dijkstra,average_delay_slots,15,7.343331094690965,6.965254781546126,7.733000695534656
fr0.20,global_dijkstra,p95_delay_slots,15,15.346666666666666,14.346666666666666,16.4
fr0.20,global_dijkstra,mean_queue_packets,15,1.8821296296296297,1.7378587962962966,2.0295439814814817
fr0.20,mappo,delivery_ratio,120,0.5977864583333333,0.5785579427083334,0.6172753906249999
fr0.20,mappo,drop_rate,120,0.0763454861111111,0.06736111111111111,0.0861111111111111
fr0.20,mappo,throughput_packets_per_slot,120,3.825833333333333,3.702770833333333,3.9505624999999998
fr0.20,mappo,average_delay_slots,120,7.530004309278182,7.369137137619084,7.685053380786647
fr0.20,mappo,p95_delay_slots,120,14.64208333333333,14.246666666666666,15.029604166666664
fr0.20,mappo,mean_queue_packets,120,1.7851041666666667,1.7316649305555554,1.8369820601851852
