packet_id,delivered,delay_ms
6000049,1,3029.33
6000050,1,687.556
6000051,1,691.556
6000052,1,4364.44
6000053,1,1371.11
6000054,0,-1
6000055,1,525.333
6000056,1,687.556
6000057,1,1033.33
6000058,1,2195.56
6000059,1,1029.33
6000060,1,2215.56
6000061,1,2696.89
6000062,1,4385.78
6000063,0,-1
6000064,1,863.111
6000065,0,-1
6000066,0,-1
6000067,0,-1
6000068,1,2530.67
6000069,1,1029.33
6000070,1,345.778
6000071,1,3226.22
6000072,0,-1
6000073,0,-1
6000074,1,3365.78
6000075,0,-1
6000076,1,687.556
6000077,1,1724.89
6000078,1,345.778
6000079,0,-1
6000080,1,1720.89
6000081,1,691.556
6000082,1,2532
6000083,0,-1
6000084,1,1558.67
6000085,1,3387.11
6000086,1,345.778
6000087,0,-1
6000088,1,1888.44
6000089,1,3033.33
6000090,1,683.556
6000091,0,-1
6000092,1,1054.67
6000093,0,-1
6000094,1,892.444
6000095,0,-1
6000096,0,-1
6000097,0,-1
6000099,0,-1
6000100,0,-1
6000101,1,1679.56
6000102,0,-1
6000103,1,687.556
6000104,1,1867.11
6000105,1,345.778
6000106,0,-1
6000107,0,-1
6000108,1,1371.11
6000109,1,2014.67
6000110,0,-1
6000111,1,1347.11
6000112,1,691.556
6000113,1,345.778
6000114,0,-1
6000115,0,-1
6000116,1,1180.89
6000117,1,513.333
6000118,1,1029.33
6000119,1,1029.33
6000120,0,-1
6000121,0,-1
6000122,0,-1
6000123,1,1029.33
6000124,0,-1
6000125,1,687.556
6000126,0,-1
6000127,0,-1
6000128,0,-1
6000129,0,-1
6000130,0,-1
6000131,0,-1
6000132,1,1029.33
6000133,0,-1
6000134,1,691.556
6000135,0,-1
6000136,0,-1
6000137,0,-1
6000138,1,341.778
6000139,0,-1
6000140,1,1029.33
6000141,0,-1
6000142,0,-1
6000143,0,-1
6000144,0,-1
6000145,0,-1
6000146,1,1367.11
6000147,0,-1
6000148,0,-1
6000149,0,-1
6000150,0,-1
6000151,0,-1
6000152,0,-1
6000154,0,-1
6000155,0,-1
6000156,0,-1
6000157,0,-1
6000158,0,-1
6000159,0,-1
6000160,0,-1
6000161,0,-1
6000162,0,-1
6000163,0,-1
6000164,0,-1
6000165,0,-1
6000166,0,-1
6000167,0,-1
6000168,0,-1
6000169,0,-1
6000171,1,341.778
6000172,0,-1
6000173,1,341.778
6000174,0,-1
6000175,0,-1
6000176,0,-1
6000177,0,-1
6000179,0,-1
6000180,0,-1
6000181,0,-1
6000183,0,-1
7000001,1,1371.11
7000002,1,687.556
7000003,1,2746.22
7000004,1,1696.89
7000005,1,345.778
7000006,1,2843.11
7000007,1,1029.33
7000008,1,687.556
7000009,1,3080
7000010,1,341.778
7000011,0,-1
7000012,1,341.778
7000013,1,4512
7000014,1,687.556
7000015,1,1029.33
7000016,1,5416.44
7000017,0,-1
7000018,0,-1
7000019,1,1033.33
7000020,1,341.778
7000021,1,863.111
7000022,1,1375.11
7000023,0,-1
7000024,1,1675.56
7000025,0,-1
7000026,0,-1
7000027,0,-1
7000028,1,867.111
7000029,1,3178.22
7000030,1,1364.44
7000031,1,530.667
7000032,1,345.778
7000033,1,683.556
7000034,0,-1
7000035,1,2247.56
7000036,1,341.778
7000037,1,691.556
7000038,1,1176.89
7000039,1,1029.33
7000040,0,-1
7000041,1,3084
7000042,1,509.333
7000043,1,2248.89
7000044,1,2521.33
7000045,1,1010.67
7000046,1,913.778
7000047,1,1569.33
7000048,0,-1
7000049,1,2363.11
7000050,1,1175.56
7000051,0,-1
7000052,1,345.778
7000053,0,-1
7000054,0,-1
7000055,1,341.778
7000056,0,-1
7000057,1,1029.33
7000058,0,-1
7000059,1,2062.67
7000060,1,581.333
7000061,1,1029.33
7000062,0,-1
7000063,0,-1
7000064,0,-1
7000065,1,845.778
7000066,0,-1
7000067,1,683.556
7000068,1,1029.33
7000069,1,1917.78
7000070,1,345.778
7000071,1,345.778
7000072,1,341.778
7000073,1,1038.67
7000074,0,-1
7000075,1,345.778
7000076,1,1716.89
7000077,1,341.778
7000078,1,691.556
7000079,0,-1
7000080,0,-1
7000081,1,341.778
7000082,1,687.556
7000083,0,-1
7000084,1,1884.44
7000085,1,1050.67
7000086,1,1085.33
7000087,1,345.778
7000088,0,-1
7000089,1,2226.22
7000090,0,-1
7000091,1,1252.89
7000092,1,2060
7000093,0,-1
7000094,1,919.111
7000095,0,-1
7000096,1,1586.67
7000097,1,1420.44
7000098,1,1033.33
7000099,1,2030.67
7000100,1,1033.33
7000101,1,1052
7000102,1,718.222
7000103,1,704.889
7000104,0,-1
7000105,0,-1
7000106,1,513.333
7000107,1,1254.22
7000108,1,683.556
7000109,1,683.556
7000110,0,-1
7000111,0,-1
7000112,1,341.778
7000113,1,1029.33
7000114,0,-1
7000115,1,345.778
7000116,1,691.556
7000117,0,-1
7000118,1,1029.33
7000119,0,-1
7000120,1,2038.67
7000121,1,363.111
7000122,1,345.778
7000123,0,-1
7000124,0,-1
7000125,1,1032
7000126,0,-1
7000127,1,1050.67
7000128,0,-1
