config,policy,metric,n,mean,ci95_low,ci95_high
switch_lo,global_dijkstra,delivery_ratio,20,0.7234375,0.71015625,0.7361979166666666
switch_lo,global_dijkstra,drop_rate,20,0.022135416666666664,0.017447916666666664,0.02708333333333333
switch_lo,global_dijkstra,throughput_packets_per_slot,20,4.63,4.545000000000001,4.711666666666667
switch_lo,global_dijkstra,average_delay_slots,20,6.375718659940699,6.215780133082359,6.529394188409609
switch_lo,global_dijkstra,p95_delay_slots,20,12.812499999999996,12.272499999999997,13.354999999999995
switch_lo,global_dijkstra,mean_queue_packets,20,1.4318055555555553,1.3963888888888891,1.4666666666666663
switch_lo,global_dijkstra,global_load_imbalance,20,0.7413923256929162,0.7359104037392853,0.7466522597647649
switch_lo,mappo,delivery_ratio,60,0.7960069444444444,0.7900173611111111,0.8019097222222222
switch_lo,mappo,drop_rate,60,0.003732638888888889,0.002690972222222222,0.00486111111111111
switch_lo,mappo,throughput_packets_per_slot,60,5.094444444444445,5.056111111111111,5.132222222222223
switch_lo,mappo,average_delay_slots,60,5.726314272558812,5.635052928425348,5.817996291700514
switch_lo,mappo,p95_delay_slots,60,9.953333333333335,9.728312499999998,10.171687499999997
switch_lo,mappo,mean_queue_packets,60,1.2090972222222225,1.187730902777778,1.2308796296296294
switch_lo,mappo,global_load_imbalance,60,0.6973273459192123,0.6935010348890686,0.7011739158518602
switch_hi,global_dijkstra,delivery_ratio,20,0.7234375,0.71015625,0.7361979166666666
switch_hi,global_dijkstra,drop_rate,20,0.022135416666666664,0.017447916666666664,0.02708333333333333
switch_hi,global_dijkstra,throughput_packets_per_slot,20,4.63,4.545000000000001,4.711666666666667
switch_hi,global_dijkstra,average_delay_slots,20,6.375718659940699,6.215780133082359,6.529394188409609
switch_hi,global_dijkstra,p95_delay_slots,20,12.812499999999996,12.272499999999997,13.354999999999995
switch_hi,global_dijkstra,mean_queue_packets,20,1.4318055555555553,1.3963888888888891,1.4666666666666663
switch_hi,global_dijkstra,global_load_imbalance,20,0.7413923256929162,0.7359104037392853,0.7466522597647649
switch_hi,mappo,delivery_ratio,60,0.7743923611111111,0.7677929687499999,0.7811631944444445
switch_hi,mappo,drop_rate,60,0.009288194444444443,0.007725694444444444,0.010850694444444446
switch_hi,mappo,throughput_packets_per_slot,60,4.956111111111111,4.913874999999999,4.999444444444444
switch_hi,mappo,average_delay_slots,60,5.8249413525392155,5.7434870433187415,5.902378274264797
switch_hi,mappo,p95_delay_slots,60,10.732499999999996,10.505812499999998,10.95252083333333
switch_hi,mappo,mean_queue_packets,60,1.263564814814815,1.2425908564814818,1.2846759259259257
switch_hi,mappo,global_load_imbalance,60,0.7107534333398372,0.7071612846310215,0.7144260862208792
