scenario,policy,policy_seed,workload_seed,generated,delivered,dropped,backlog,delivery_ratio,drop_rate,throughput_packets_per_slot,average_delay_slots,p95_delay_slots,mean_queue_packets,max_queue_packets,routing_switches,episode_reward,class_0_delivery_ratio,class_1_delivery_ratio,class_2_delivery_ratio
medium_load,mappo,7,11012,192,44,35,113,0.22916666666666666,0.18229166666666666,1.4666666666666666,6.045454545454546,19.85,2.8652777777777776,28,18,-34.16595003488905,0.10112359550561797,0.423728813559322,0.22727272727272727
medium_load,mappo,7,11013,192,55,34,103,0.2864583333333333,0.17708333333333334,1.8333333333333333,5.0181818181818185,13.199999999999989,2.736111111111111,25,20,-34.011654845672915,0.14583333333333334,0.36507936507936506,0.5454545454545454
medium_load,mappo,7,11014,192,12,50,130,0.0625,0.2604166666666667,0.4,4.833333333333333,13.499999999999993,3.201388888888889,36,28,-44.28947225377208,0.03125,0.05555555555555555,0.14285714285714285
medium_load,mappo,7,11015,192,28,46,118,0.14583333333333334,0.23958333333333334,0.9333333333333333,6.464285714285714,15.649999999999999,3.075,22,34,-39.5641037289386,0.07954545454545454,0.1864406779661017,0.2222222222222222
medium_load,mappo,7,11016,192,24,47,121,0.125,0.24479166666666666,0.8,4.5,13.699999999999996,3.272222222222222,23,48,-39.715855985732425,0.11320754716981132,0.1568627450980392,0.11428571428571428
medium_load,mappo,7,11017,192,32,45,115,0.16666666666666666,0.234375,1.0666666666666667,7.0,16.0,3.0805555555555557,27,29,-37.91738141288344,0.053763440860215055,0.28125,0.2571428571428571
medium_load,mappo,7,11018,192,31,57,104,0.16145833333333334,0.296875,1.0333333333333334,5.67741935483871,16.5,3.0444444444444443,22,28,-40.813857623272575,0.12790697674418605,0.22535211267605634,0.11428571428571428
medium_load,mappo,7,11019,192,33,53,106,0.171875,0.2760416666666667,1.1,6.0,15.399999999999999,2.9458333333333333,25,22,-39.78013247040514,0.21428571428571427,0.16666666666666666,0.058823529411764705
medium_load,mappo,7,11020,192,28,44,120,0.14583333333333334,0.22916666666666666,0.9333333333333333,4.714285714285714,14.899999999999991,3.102777777777778,23,24,-39.59382998889198,0.07766990291262135,0.2653061224489796,0.175
medium_load,mappo,42,11001,192,30,48,114,0.15625,0.25,1.0,10.1,21.549999999999997,3.126388888888889,13,316,-35.85059769999753,0.20454545454545456,0.11666666666666667,0.11363636363636363
medium_load,mappo,42,11002,192,24,55,113,0.125,0.2864583333333333,0.8,10.416666666666666,23.24999999999999,3.0708333333333333,14,275,-37.775414465737015,0.14772727272727273,0.08571428571428572,0.14705882352941177
medium_load,mappo,42,11003,192,24,58,110,0.125,0.3020833333333333,0.8,9.958333333333334,22.849999999999998,3.084722222222222,13,345,-37.85348072666829,0.14893617021276595,0.08955223880597014,0.12903225806451613
medium_load,mappo,42,11004,192,37,39,116,0.19270833333333334,0.203125,1.2333333333333334,9.945945945945946,26.0,3.1847222222222222,11,330,-31.718467383494822,0.21495327102803738,0.10869565217391304,0.23076923076923078
medium_load,mappo,42,11005,192,28,47,117,0.14583333333333334,0.24479166666666666,0.9333333333333333,10.928571428571429,25.0,3.2,12,352,-34.9881050956553,0.14678899082568808,0.0851063829787234,0.2222222222222222
medium_load,mappo,42,11006,192,24,42,126,0.125,0.21875,0.8,10.375,22.24999999999999,3.175,14,312,-35.419618405961415,0.12612612612612611,0.08163265306122448,0.1875
medium_load,mappo,42,11007,192,25,58,109,0.13020833333333334,0.3020833333333333,0.8333333333333334,12.08,25.799999999999997,3.1319444444444446,16,348,-37.21059510422987,0.19101123595505617,0.03333333333333333,0.13953488372093023
medium_load,mappo,42,11008,192,26,45,121,0.13541666666666666,0.234375,0.8666666666666667,7.8076923076923075,18.25,3.025,12,355,-36.36735459619805,0.15306122448979592,0.1,0.14705882352941177
medium_load,mappo,42,11009,192,26,58,108,0.13541666666666666,0.3020833333333333,0.8666666666666667,10.038461538461538,19.75,3.1416666666666666,13,302,-36.69744912933009,0.17894736842105263,0.03389830508474576,0.18421052631578946
medium_load,mappo,42,11010,192,27,58,107,0.140625,0.3020833333333333,0.9,9.703703703703704,25.499999999999996,2.984722222222222,14,307,-38.01682250636759,0.17857142857142858,0.09090909090909091,0.14285714285714285
medium_load,mappo,42,11011,192,29,52,111,0.15104166666666666,0.2708333333333333,0.9666666666666667,11.931034482758621,24.39999999999999,3.102777777777778,14,351,-37.19867138231618,0.21951219512195122,0.07575757575757576,0.13636363636363635
medium_load,mappo,42,11012,192,35,49,108,0.18229166666666666,0.2552083333333333,1.1666666666666667,10.114285714285714,20.19999999999999,3.0319444444444446,12,335,-36.323715825227815,0.19101123595505617,0.1694915254237288,0.18181818181818182
medium_load,mappo,42,11013,192,30,54,108,0.15625,0.28125,1.0,8.333333333333334,16.0,3.0194444444444444,14,337,-36.552782804319264,0.19791666666666666,0.09523809523809523,0.15151515151515152
medium_load,mappo,42,11014,192,27,46,119,0.140625,0.23958333333333334,0.9,8.11111111111111,18.4,3.0125,13,315,-36.63808756902912,0.13541666666666666,0.037037037037037035,0.2857142857142857
medium_load,mappo,42,11015,192,30,50,112,0.15625,0.2604166666666667,1.0,9.133333333333333,18.64999999999999,3.058333333333333,10,345,-36.65089230340742,0.20454545454545456,0.1016949152542373,0.13333333333333333
medium_load,mappo,42,11016,192,25,47,120,0.13020833333333334,0.24479166666666666,0.8333333333333334,9.04,22.0,3.2111111111111112,15,370,-35.24441635032821,0.1509433962264151,0.0784313725490196,0.14285714285714285
medium_load,mappo,42,11017,192,30,50,112,0.15625,0.2604166666666667,1.0,10.133333333333333,19.549999999999997,3.0444444444444443,16,298,-35.71968211279775,0.16129032258064516,0.078125,0.2857142857142857
medium_load,mappo,42,11018,192,27,57,108,0.140625,0.296875,0.9,10.37037037037037,25.799999999999997,2.9805555555555556,12,352,-37.88695194322886,0.1511627906976744,0.056338028169014086,0.2857142857142857
medium_load,mappo,42,11019,192,24,56,112,0.125,0.2916666666666667,0.8,9.333333333333334,23.699999999999996,3.0277777777777777,16,319,-37.640835000483726,0.15306122448979592,0.08333333333333333,0.11764705882352941
medium_load,mappo,42,11020,192,30,47,115,0.15625,0.24479166666666666,1.0,9.5,23.549999999999997,3.113888888888889,14,337,-35.02876045074122,0.1650485436893204,0.10204081632653061,0.2
medium_load,mappo,1024,11001,192,34,50,108,0.17708333333333334,0.2604166666666667,1.1333333333333333,6.147058823529412,17.049999999999994,2.9972222222222222,16,211,-37.602082341150066,0.19318181818181818,0.2,0.11363636363636363
medium_load,mappo,1024,11002,192,22,54,116,0.11458333333333333,0.28125,0.7333333333333333,6.136363636363637,15.0,3.047222222222222,17,190,-40.730767245378196,0.11363636363636363,0.15714285714285714,0.029411764705882353
medium_load,mappo,1024,11003,192,27,57,108,0.140625,0.296875,0.9,7.925925925925926,18.899999999999995,3.0208333333333335,18,206,-39.77217570736073,0.1595744680851064,0.14925373134328357,0.06451612903225806
medium_load,mappo,1024,11004,192,26,42,124,0.13541666666666666,0.21875,0.8666666666666667,9.538461538461538,22.5,3.3777777777777778,18,150,-36.22110701054092,0.14953271028037382,0.13043478260869565,0.10256410256410256
medium_load,mappo,1024,11005,192,34,42,116,0.17708333333333334,0.21875,1.1333333333333333,6.764705882352941,18.349999999999998,3.048611111111111,17,201,-35.98900619867952,0.14678899082568808,0.2127659574468085,0.2222222222222222
medium_load,mappo,1024,11006,192,42,38,112,0.21875,0.19791666666666666,1.4,7.261904761904762,19.0,2.8819444444444446,15,185,-33.79860470400301,0.1981981981981982,0.24489795918367346,0.25
medium_load,mappo,1024,11007,192,26,53,113,0.13541666666666666,0.2760416666666667,0.8666666666666667,7.653846153846154,18.0,3.098611111111111,19,199,-37.57779473221057,0.11235955056179775,0.13333333333333333,0.18604651162790697
medium_load,mappo,1024,11008,192,27,45,120,0.140625,0.234375,0.9,7.296296296296297,21.7,3.063888888888889,16,211,-37.32410198455296,0.14285714285714285,0.15,0.11764705882352941
medium_load,mappo,1024,11009,192,30,53,109,0.15625,0.2760416666666667,1.0,9.633333333333333,21.64999999999999,3.136111111111111,18,188,-38.17393745494986,0.15789473684210525,0.1016949152542373,0.23684210526315788
medium_load,mappo,1024,11010,192,36,54,102,0.1875,0.28125,1.2,7.305555555555555,19.25,2.852777777777778,22,207,-38.701201590533394,0.17857142857142858,0.18181818181818182,0.21428571428571427
medium_load,mappo,1024,11011,192,21,56,115,0.109375,0.2916666666666667,0.7,6.857142857142857,16.0,3.1486111111111112,18,198,-39.083661028248564,0.10975609756097561,0.12121212121212122,0.09090909090909091
medium_load,mappo,1024,11012,192,32,50,110,0.16666666666666666,0.2604166666666667,1.0666666666666667,8.25,20.799999999999997,2.9833333333333334,20,207,-38.88302619423296,0.16853932584269662,0.15254237288135594,0.18181818181818182
medium_load,mappo,1024,11013,192,26,56,110,0.13541666666666666,0.2916666666666667,0.8666666666666667,8.115384615384615,19.75,3.1152777777777776,18,201,-38.83619845121006,0.17708333333333334,0.1111111111111111,0.06060606060606061
medium_load,mappo,1024,11014,192,28,45,119,0.14583333333333334,0.234375,0.9333333333333333,6.321428571428571,19.299999999999997,3.0347222222222223,16,216,-37.08879523953682,0.13541666666666666,0.14814814814814814,0.16666666666666666
medium_load,mappo,1024,11015,192,28,50,114,0.14583333333333334,0.2604166666666667,0.9333333333333333,7.607142857142857,17.249999999999993,3.091666666666667,19,203,-38.336954264603165,0.14772727272727273,0.1694915254237288,0.1111111111111111
medium_load,mappo,1024,11016,192,19,49,124,0.09895833333333333,0.2552083333333333,0.6333333333333333,8.052631578947368,18.199999999999996,3.4194444444444443,21,192,-38.51482956693259,0.0660377358490566,0.17647058823529413,0.08571428571428572
medium_load,mappo,1024,11017,192,24,51,117,0.125,0.265625,0.8,7.375,17.849999999999998,3.138888888888889,14,173,-38.73556546691426,0.10752688172043011,0.140625,0.14285714285714285
medium_load,mappo,1024,11018,192,23,58,111,0.11979166666666667,0.3020833333333333,0.7666666666666667,7.565217391304348,17.799999999999997,3.073611111111111,15,215,-41.561579367269744,0.09302325581395349,0.1267605633802817,0.17142857142857143
medium_load,mappo,1024,11019,192,31,51,110,0.16145833333333334,0.265625,1.0333333333333334,7.870967741935484,17.5,2.9819444444444443,20,184,-38.77846358319328,0.14285714285714285,0.18333333333333332,0.17647058823529413
medium_load,mappo,1024,11020,192,28,47,117,0.14583333333333334,0.24479166666666666,0.9333333333333333,6.928571428571429,15.949999999999996,3.1875,17,191,-36.990423666514715,0.0970873786407767,0.1836734693877551,0.225
medium_load,delay_only,-1,11001,192,34,45,113,0.17708333333333334,0.234375,1.1333333333333333,8.588235294117647,19.0,3.0055555555555555,12,166,-28.52418714284779,0.18181818181818182,0.2,0.13636363636363635
medium_load,delay_only,-1,11002,192,35,49,108,0.18229166666666666,0.2552083333333333,1.1666666666666667,9.342857142857143,22.09999999999998,2.8555555555555556,9,173,-28.8835318323617,0.19318181818181818,0.12857142857142856,0.2647058823529412
medium_load,delay_only,-1,11003,192,21,60,111,0.109375,0.3125,0.7,9.571428571428571,20.0,3.0861111111111112,14,172,-31.765050944240794,0.13829787234042554,0.07462686567164178,0.0967741935483871
medium_load,delay_only,-1,11004,192,31,42,119,0.16145833333333334,0.21875,1.0333333333333334,11.64516129032258,20.5,3.3055555555555554,15,157,-27.13476142460159,0.18691588785046728,0.043478260869565216,0.23076923076923078
medium_load,delay_only,-1,11005,192,35,39,118,0.18229166666666666,0.203125,1.1666666666666667,10.6,21.599999999999994,3.0347222222222223,11,208,-27.203471459374207,0.1834862385321101,0.1702127659574468,0.19444444444444445
medium_load,delay_only,-1,11006,192,43,34,115,0.22395833333333334,0.17708333333333334,1.4333333333333333,7.930232558139535,18.9,2.8194444444444446,15,163,-25.64502600170213,0.22522522522522523,0.22448979591836735,0.21875
