scenario,policy,metric,n,mean,ci95_low,ci95_high
medium_load,global_dijkstra,drop_rate,50,0.0225,0.019062499999999996,0.02604166666666667
medium_load,global_dijkstra,throughput_packets_per_slot,50,4.703333333333334,4.657316666666667,4.750666666666666
medium_load,global_dijkstra,average_delay_slots,50,6.142386937117991,6.035568022811789,6.253897307503319
medium_load,global_dijkstra,p95_delay_slots,50,12.300999999999998,11.956974999999998,12.648999999999996
medium_load,global_dijkstra,mean_queue_packets,50,1.3791944444444446,1.351582638888889,1.4072791666666666
medium_load,q_routing,delivery_ratio,400,0.7845572916666665,0.7822786458333333,0.786796875
medium_load,q_routing,drop_rate,400,0.004622395833333333,0.004075520833333334,0.005143229166666667
medium_load,q_routing,throughput_packets_per_slot,400,5.021166666666667,5.006583333333333,5.0355
medium_load,q_routing,average_delay_slots,400,5.735635222834628,5.695605947383156,5.776237903847217
medium_load,q_routing,p95_delay_slots,400,10.273375000000001,10.177999999999999,10.3685
medium_load,q_routing,mean_queue_packets,400,1.2242743055555556,1.2144582465277776,1.2341986979166668
hotspot_high_load,dqn_routing,delivery_ratio,150,0.30772,0.30573333333333336,0.30970666666666663
hotspot_high_load,dqn_routing,drop_rate,150,0.16005333333333335,0.15798633333333334,0.16212
hotspot_high_load,dqn_routing,throughput_packets_per_slot,150,5.128666666666667,5.095555555555555,5.161777777777778
hotspot_high_load,dqn_routing,average_delay_slots,150,10.566553189080842,10.51300040865803,10.61881819551774
hotspot_high_load,dqn_routing,p95_delay_slots,150,20.604666666666667,20.46965833333333,20.733674999999998
hotspot_high_load,dqn_routing,mean_queue_packets,150,6.66787962962963,6.646898148148148,6.68775138888889
hotspot_high_load,mappo,delivery_ratio,400,0.28992999999999997,0.28870487499999997,0.29115012500000004
hotspot_high_load,mappo,drop_rate,400,0.16557499999999997,0.16422987499999997,0.16689999999999997
hotspot_high_load,mappo,throughput_packets_per_slot,400,4.832166666666667,4.811747916666667,4.852502083333333
hotspot_high_load,mappo,average_delay_slots,400,10.464897459270327,10.430012919573016,10.498487817179551
hotspot_high_load,mappo,p95_delay_slots,400,20.411375,20.324243749999997,20.500378124999997
hotspot_high_load,mappo,mean_queue_packets,400,6.758423611111112,6.746162152777778,6.770750173611111
hotspot_high_load,global_dijkstra,delivery_ratio,50,0.29892,0.295639,0.30220100000000005
