scenario,policy,metric,n,policy_seed_count,workload_seed_count,mean,std,policy_seed_mean_std,ci95_low,ci95_high,bootstrap_standard_error,ci_method,ci_resamples,confidence_level
fault_links,full_heuristic,global_load_imbalance,50,1,50,0.5524351494361722,0.007493863157880223,0.0,0.5503857840906629,0.5545308107020072,0.00105755231282321,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,full_heuristic,global_switch_cost,50,1,50,0.21585586584349872,0.030761446099873385,0.0,0.2073656424416526,0.22436974728528045,0.004374285913290388,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,full_heuristic,global_throughput_reward,50,1,50,0.10117557598546291,0.012327824114604188,0.0,0.09775133451144136,0.10447604520626445,0.0017152448831577595,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,full_heuristic,global_control_overhead_ratio,50,1,50,0.04130825048402745,0.0006576970889628741,0.0,0.04112809408060972,0.041484878131629675,9.186736642668411e-05,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,full_heuristic,global_drop_cost,50,1,50,0.04830018309938219,0.009203082499992271,0.0,0.0456956959510106,0.050881538625054054,0.0013054294018503925,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,global_dijkstra,delivery_ratio,50,1,50,0.7040625,0.04162266490389358,0.0,0.6926015625,0.7158333333333333,0.005929881226736603,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,global_dijkstra,drop_rate,50,1,50,0.03552083333333334,0.02006695187112281,0.0,0.03,0.04114583333333333,0.002818785970102031,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,global_dijkstra,throughput_packets_per_slot,50,1,50,4.506,0.2663850553849189,0.0,4.433333333333334,4.57735,0.03658179117995226,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,global_dijkstra,average_delay_slots,50,1,50,6.4693126143271,0.4511038508490409,0.0,6.34506192588679,6.590535651988574,0.0624993233361149,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,global_dijkstra,p95_delay_slots,50,1,50,13.067999999999998,1.3279092051578134,0.0,12.722999999999999,13.435024999999998,0.1818184378247338,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,global_dijkstra,mean_queue_packets,50,1,50,1.4823611111111115,0.12736959413831833,0.0,1.447554166666667,1.5175555555555555,0.017665063792085236,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,global_dijkstra,routing_switches,50,1,50,44.62,9.244722708615098,0.0,42.16000000000001,47.24,1.2838663127155354,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,global_dijkstra,episode_reward,50,1,50,7.8884621471696565,2.1898452090007945,0.0,7.280628266668569,8.481409915445747,0.3076759353756032,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,global_dijkstra,global_delay_cost,50,1,50,0.2065389435498789,0.013779216574332903,0.0,0.20291606945844068,0.2103207178872084,0.0018992114088280455,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,global_dijkstra,global_queue_cost,50,1,50,0.034114197530864206,0.002956428938606306,0.0,0.03329192901234568,0.034929645061728395,0.0004146686685998081,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,global_dijkstra,global_load_imbalance,50,1,50,0.7327049267337408,0.013314622799790775,0.0,0.7288486180033523,0.7363951888923214,0.0019123636025807935,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,global_dijkstra,global_switch_cost,50,1,50,0.10046125373021657,0.019489267356161778,0.0,0.09526174457136144,0.10604781792518053,0.0027257619649966344,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,global_dijkstra,global_throughput_reward,50,1,50,0.3132445159215283,0.022538529634908513,0.0,0.30694868020094795,0.3194120594501961,0.003203476935724967,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,global_dijkstra,global_control_overhead_ratio,50,1,50,0.05818621034239217,0.0018218881699385728,0.0,0.05768933731405799,0.058687866000613924,0.00025460650529018165,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,global_dijkstra,global_drop_cost,50,1,50,0.0152643137879206,0.008705946923950401,0.0,0.012877217222993153,0.017765305616940678,0.001244435490472779,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,mappo,delivery_ratio,400,8,50,0.7471614583333335,0.0406685133559565,0.005305857775714598,0.7355328776041666,0.7578909505208332,0.005762811211404595,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,mappo,drop_rate,400,8,50,0.01734375,0.015980874894668727,0.001790420386035123,0.01324186197916667,0.021588867187499996,0.00214731526681911,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,mappo,throughput_packets_per_slot,400,8,50,4.781833333333333,0.26027848547812155,0.03395748976457359,4.711581249999999,4.852168750000001,0.036413286023218104,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,mappo,average_delay_slots,400,8,50,6.203338605352025,0.47920799425584953,0.09022834523541931,6.069674145003271,6.341759636382697,0.06981403713389923,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,mappo,p95_delay_slots,400,8,50,11.12975,1.0917048530695184,0.2916865979584448,10.824746874999999,11.453018749999998,0.15962481636155343,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,mappo,mean_queue_packets,400,8,50,1.3583194444444444,0.1345917672163021,0.023006909858444103,1.3210671875,1.3979483506944441,0.019550000504334808,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,mappo,routing_switches,400,8,50,40.955,19.523983708496175,16.255790177217296,30.1625,52.55362499999998,5.740343354740186,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,mappo,episode_reward,400,8,50,8.500044624406259,2.1580681125443735,0.1997170364967676,7.886288587047045,9.064550783354472,0.2991450620648239,crossed_pigeonhole_bootstrap_percentile,5000,0.95
fault_links,mappo,global_delay_cost,400,8,50,0.20647994110973575,0.014228422643221281,0.0016990016058787663,0.20261844808226395,0.2103617037805567,0.001962668327990587,crossed_pigeonhole_bootstrap_percentile,5000,0.95
