scenario,reference,baseline,metric,n_paired_workloads,sigma_d_paired,observed_diff_ref_minus_base,mde_abs,mde_rel_to_baseline,alpha,power,wilcoxon_p,is_null_at_alpha,observed_below_mde
frequent_break,mappo,q_routing,mean_queue_packets,50,0.2426013842624111,-0.28880555555555554,0.09611963427967836,0.04410471179544648,0.05,0.8,6.535714192068554e-10,False,False
frequent_break,mappo,q_routing,routing_switches,50,19.071696092291706,-58.375,7.556281919238341,0.07027465165532053,0.05,0.8,7.551804758280675e-10,False,False
frequent_break,mappo,random,delivery_ratio,50,0.09099934417578781,0.2722526041666667,0.03605430244539023,0.24758319275804447,0.05,0.8,1.7763568394002505e-15,False,False
frequent_break,mappo,random,drop_rate,50,0.05395186876307117,-0.13084635416666665,0.02137594519494711,0.059360449485534345,0.05,0.8,1.7763568394002505e-15,False,False
frequent_break,mappo,random,throughput_packets_per_slot,50,0.582395802725042,1.7424166666666667,0.2307475356504975,0.24758319275804452,0.05,0.8,7.555220876380673e-10,False,False
frequent_break,mappo,random,average_delay_slots,50,1.527457323606368,-0.5941578478076849,0.6051846726647414,0.07305129293049896,0.05,0.8,0.007158095833210254,False,True
frequent_break,mappo,random,p95_delay_slots,50,3.355330354660039,-2.355624999999998,1.3293952446230826,0.07223796362675015,0.05,0.8,6.010637926934237e-06,False,False
frequent_break,mappo,random,mean_queue_packets,50,0.28270944057752095,-0.6731493055555556,0.11201060586831174,0.04369109045387215,0.05,0.8,1.7763568394002505e-15,False,False
frequent_break,mappo,random,routing_switches,50,32.41627716919702,-120.87,12.843458068819753,0.07554086618527087,0.05,0.8,7.553512643873762e-10,False,False
hotspot_high_load,mappo,delay_only,delivery_ratio,50,0.01203680156174117,0.20884000000000003,0.00476902869919397,0.07243360721740538,0.05,0.8,7.546683182364461e-10,False,False
hotspot_high_load,mappo,delay_only,drop_rate,50,0.01035817851964803,-0.09776500000000002,0.004103951567049867,0.01509027639009364,0.05,0.8,1.7763568394002505e-15,False,False
hotspot_high_load,mappo,delay_only,throughput_packets_per_slot,50,0.2006133593623529,3.4806666666666666,0.07948381165323283,0.07243360721740538,0.05,0.8,7.544976683806673e-10,False,False
hotspot_high_load,mappo,delay_only,average_delay_slots,50,0.9171844858504097,0.9972903817853559,0.36339214475205994,0.03794388062283852,0.05,0.8,2.8132163265581767e-10,False,False
hotspot_high_load,mappo,delay_only,p95_delay_slots,50,2.0848551006763816,0.33599999999999985,0.8260278910295785,0.04090461974000092,0.05,0.8,0.09709384967839618,True,True
hotspot_high_load,mappo,delay_only,mean_queue_packets,50,0.12143477110990558,-1.57996875,0.048112939764989995,0.0057124486131336465,0.05,0.8,1.7763568394002505e-15,False,False
hotspot_high_load,mappo,delay_only,routing_switches,50,13.31623534353797,-90.3225,5.275945457172372,0.02325639362237667,0.05,0.8,7.553512643873762e-10,False,False
hotspot_high_load,mappo,full_heuristic,delivery_ratio,50,0.01141883960650922,0.12952,0.004524189712325693,0.03116691727973059,0.05,0.8,7.551804758280675e-10,False,False
hotspot_high_load,mappo,full_heuristic,drop_rate,50,0.00987265988805986,-0.05596500000000001,0.003911587152287311,0.016995077999162805,0.05,0.8,7.548390027588035e-10,False,False
hotspot_high_load,mappo,full_heuristic,throughput_packets_per_slot,50,0.19031399344182037,2.158666666666667,0.07540316187209489,0.0311669172797306,0.05,0.8,7.551804758280675e-10,False,False
