target_scale,n_sats,policy,metric,n,mean,ci95_low,ci95_high
n110,110,mappo_transfer_n24,mean_queue_packets,80,2.9285795454545456,2.9172605113636365,2.939875189393939
n132,132,full_heuristic,delivery_ratio,10,0.060037878787878786,0.05757575757575758,0.06259469696969697
n132,132,full_heuristic,drop_rate,10,0.2943181818181818,0.29081439393939396,0.29772727272727273
n132,132,full_heuristic,throughput_packets_per_slot,10,2.1133333333333333,2.0266666666666664,2.203333333333333
n132,132,full_heuristic,average_delay_slots,10,10.726162973496653,10.282703741883639,11.235128796971733
n132,132,full_heuristic,p95_delay_slots,10,22.129999999999995,20.709874999999997,23.654999999999994
n132,132,full_heuristic,mean_queue_packets,10,3.289520202020202,3.2686363636363636,3.309293560606061
n132,132,global_dijkstra,delivery_ratio,10,0.18892045454545456,0.1858901515151515,0.19232954545454545
n132,132,global_dijkstra,drop_rate,10,0.22935606060606065,0.22234848484848485,0.2366477272727273
n132,132,global_dijkstra,throughput_packets_per_slot,10,6.65,6.543333333333334,6.7700000000000005
n132,132,global_dijkstra,average_delay_slots,10,11.074038294572555,10.830218717835258,11.327498736341852
n132,132,global_dijkstra,p95_delay_slots,10,23.139999999999993,22.394999999999992,23.865124999999992
n132,132,global_dijkstra,mean_queue_packets,10,2.987323232323232,2.9679273989898993,3.0067935606060603
n132,132,mappo_transfer_n24,delivery_ratio,80,0.15762310606060606,0.15539772727272727,0.15980113636363635
n132,132,mappo_transfer_n24,drop_rate,80,0.2437973484848485,0.2412875828598485,0.2463541666666667
n132,132,mappo_transfer_n24,throughput_packets_per_slot,80,5.548333333333334,5.470000000000001,5.625
n132,132,mappo_transfer_n24,average_delay_slots,80,11.971486755373629,11.885316399337494,12.058470458993511
n132,132,mappo_transfer_n24,p95_delay_slots,80,24.049374999999998,23.828125,24.267515624999998
n132,132,mappo_transfer_n24,mean_queue_packets,80,3.0576010101010103,3.0498293876262625,3.0653265467171718
